Bearing,d,D,T,B,C,rmincone,rmincup,Cr,C0r,Crkgf,C0rkgf,Grease,Oil,damin,dbmax,Damin,Damax,Dbmin,Samin,Sbmin,ramaxcone,ramaxcup,a,e,Y1,Y0,kg
HR 32914 J,70,100,20,20,16,1,1,70000,113000,7150,11500,3200,4500,79,76,94,93,96,4,4,1,1,17.6,0.32,1.9,1.1,0.494
HR 32014 XJ,70,110,25,25,19,1.5,1.5,104000,158000,10600,16100,3200,4300,81,77,101,98,105,5,6,1.5,1.5,23.7,0.43,1.4,0.76,0.869
HR 33014 J,70,110,31,31,25.5,1.5,1.5,127000,204000,12900,20800,3000,4300,81,78,101,100,105,5,5.5,1.5,1.5,22.2,0.28,2.1,1.2,1.11
HR 33114 J,70,120,37,37,29,2,1.5,177000,262000,18100,26700,3000,4000,82,79,111,104,115,6,8,2,1.5,27.9,0.38,1.6,0.87,1.71
HR 30214 J,70,125,26.25,24,21,2,1.5,132000,163000,13500,16700,2800,4000,82,81,116,110,118,4,5,2,1.5,25.6,0.42,1.4,0.79,1.3
HR 32214 J,70,125,33.25,31,27,2,1.5,157000,205000,16100,20900,2800,4000,82,80,116,108,119,4,6,2,1.5,28.6,0.42,1.4,0.79,1.66
HR 33214 J,70,125,41,41,32,2,1.5,209000,299000,21300,30500,2800,4000,82,78,116,107,120,7,9,2,1.5,30.4,0.41,1.5,0.81,2.15
T7 FC070,70,140,39,35.5,27,2,3,177000,229000,18000,23400,2600,3400,88,79,126,106,133,5,12,2.5,2.5,46.4,0.87,0.69,0.38,2.55
HR 30314 J,70,150,38,35,30,3,2.5,227000,268000,23200,27400,2400,3400,88,89,138,132,140,4,8,2.5,2,29.7,0.35,1.7,0.96,3.03
HR 30314 DJ,70,150,38,35,25,3,2.5,192000,229000,19600,23300,2200,3200,94,85,138,118,142,4,13,2.5,2,45.8,0.83,0.73,0.4,2.94
HR 31314 J,70,150,38,35,25,3,2.5,192000,229000,19600,23300,2200,3200,94,85,138,118,142,4,13,2.5,2,45.8,0.83,0.73,0.4,2.94
HR 32314 J,70,150,54,51,42,3,2.5,300000,390000,30500,39500,2600,3400,91,86,138,124,140,4,12,2.5,2,36.1,0.35,1.7,0.96,4.35
HR 32314 CJ,70,150,54,51,42,3,2.5,280000,390000,28600,39500,2400,3400,91,84,138,115,141,4,12,2.5,2,43.3,0.55,1.1,0.6,4.47
HR 32915 J,75,105,20,20,16,1,1,72500,120000,7400,12300,3200,4300,84,81,99,98,101,4,4,1,1,18.7,0.33,1.8,0.99,0.53
HR 32015 XJ,75,105,25,25,19,1.5,1.5,109000,171000,11100,17400,3000,4000,86,82,106,103,110,5,6,1.5,1.5,25.1,0.46,1.3,0.72,0.925
HR 33015 J,75,115,31,31,25.5,1.5,1.5,133000,220000,13500,22500,3000,4000,86,83,106,104,110,6,5.5,1.5,1.5,23,0.3,2,1.1,1.18
HR 33115 J,75,125,37,37,29,2,2,182000,275000,18600,28100,2800,3800,87,83,115,109,120,6,8,2,2,29.2,0.4,1.5,0.83,1.8
HR 30215 J,75,130,27.25,25,22,2,1.5,143000,182000,14600,18500,2800,3800,87,85,121,115,124,4,5,2,1.5,27,0.44,1.4,0.76,1.43
HR 32215 J,75,130,33.25,31,27,2,1.5,165000,219000,16900,22400,2800,3800,87,84,121,113,125,4,6,2,1.5,29.8,0.44,1.4,0.76,1.72
HR 33215 J,75,130,41,41,31,2,1.5,215000,315000,21900,32000,2800,3800,87,83,121,111,125,7,10,2,1.5,31.6,0.43,1.4,0.77,2.25
HR 30315 J,75,160,40,37,31,3,2.5,253000,300000,25800,30500,2400,3200,93,95,148,141,149,4,9,2.5,2,31.8,0.35,1.7,0.96,3.63
HR 30315 DJ,75,160,40,37,26,3,2.5,211000,251000,21500,25600,2200,3000,99,91,148,129,152,6,14,2.5,2,48.8,0.83,0.73,0.4,3.47
HR 31315 J,75,160,40,37,26,3,2.5,211000,251000,21500,25600,2200,3000,99,91,148,129,152,6,14,2.5,2,48.8,0.83,0.73,0.4,3.47
HR 32315 J,75,160,58,55,45,3,2.5,340000,445000,35000,45500,2400,3200,96,91,148,134,149,4,13,2.5,2,38.9,0.35,1.7,0.96,5.31
32315 CA,75,160,58,55,43,3,2.5,310000,420000,32000,43000,2200,3200,96,90,148,124,153,4,15,2.5,2,47.7,0.58,1,0.57,5.3
HR 32916 J,80,110,20,20,16,1,1,75000,128000,7650,13100,3000,4200,89,85,104,102,106,4,4,1,1,19.8,0.35,1.7,0.94,0.56
HR 32016 XJ,80,120,29,22,22,1.5,1.5,140000,222000,14300,22700,2800,3600,91,89,116,112,120,6,7,1.5,1.5,26.9,0.42,1.4,0.78,1.32
HR 33016 J,80,125,36,36,29.5,1.5,1.5,172000,282000,17500,28800,2800,3600,91,88,116,112,119,6,6.5,1.5,1.5,25.5,0.28,2.2,1.2,1.66
HR 33116 J,80,130,37,37,29,2,1.5,186000,289000,19000,29400,2600,3600,82,88,121,113,126,6,8,2,1.5,30.4,0.42,1.4,0.79,1.88
HR 30216 J,80,140,28.25,26,22,2.5,2,157000,195000,16000,19900,2600,3400,95,91,130,124,132,4,6,2,2,28.1,0.42,1.4,0.79,1.68
30216 CA,80,140,28.25,26,20,2.5,2,147000,190000,15000,19400,2400,3400,95,92,130,122,133,4,8,2,2,33.8,0.58,1,0.57,1.66
HR 32216 J,80,140,35.25,33,28,2.5,2,192000,254000,19600,25900,2600,3400,95,90,130,122,134,4,7,2,2,30.6,0.42,1.4,0.79,2.13
HR 33216 J,80,140,46,46,35,2.5,2,256000,385000,26200,39000,2600,3400,95,89,130,119,135,7,11,2,2,34.8,0.43,1.4,0.78,2.93
HR 30316 J,80,170,42.5,39,33,3,2.5,276000,330000,28200,33500,2200,3000,98,102,158,150,159,4,9.5,2.5,2,34,0.35,1.7,0.96,4.27
HR 30316 DJ,80,170,42.5,39,27,3,2.5,235000,283000,24000,28900,2000,2800,104,97,158,136,159,6,15.5,2.5,2,51.8,0.83,0.73,0.4,4.07
HR 31316 J,80,170,42.5,39,27,3,2.5,235000,283000,24000,28900,2000,2800,104,97,158,136,159,6,15.5,2.5,2,51.8,0.83,0.73,0.4,4.07
HR 32316 J,80,170,61.5,58,48,3,2.5,385000,505000,39000,51500,2200,3000,101,98,158,143,159,4,13.5,2.5,2,41.4,0.35,1.7,0.96,6.35
HR 32316 CJ,80,170,61.5,58,48,3,2.5,365000,530000,37500,54000,2000,3000,101,95,158,132,160,4,13.5,2.5,2,49.3,0.55,1.1,0.6,6.59
